@RELATION movies

@ATTRIBUTE director_facebook_likes 	{Low,Average,High}
@ATTRIBUTE highest_actor_rating 	{A,B,C,D,F}}
@ATTRIBUTE genre	{Sci-Fi,Action,Animation,Family,Documentary,Romance,Comedy,Drama,Horror,Thriller}
@ATTRIBUTE num_voted_users 	{Low,Average,High}
@ATTRIBUTE content_rating 	{Approved,G,NC-17,PG,PG-13,R,Unrated}
@ATTRIBUTE budget 	{Low,Medium,High}
@ATTRIBUTE imdb_score	{Excellent,Good,Above_Average,Average,Below_Average,Poor,Awful}

@DATA
Low,B,Romance,High,PG-13,High,Above_Average
Low,C,Animation,High,PG,High,Above_Average
Low,C,Romance,Average,PG-13,High,Below_Average
Average,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,High,R,High,Above_Average
Average,F,Thriller,High,R,High,Average
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,C,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Animation,Average,PG-13,High,Average
Average,D,Sci-Fi,High,PG-13,High,Average
Average,F,Action,High,PG-13,High,Above_Average
Average,C,Romance,High,PG-13,High,Below_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,B,Action,High,R,High,Good
Low,C,Animation,Average,PG,High,Average
Average,A,Animation,High,PG,High,Above_Average
Low,C,Animation,Average,PG,High,Average
Average,D,Thriller,High,PG-13,High,Good
Low,D,Animation,High,PG,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Above_Average
Average,A,Sci-Fi,High,PG-13,High,Above_Average
Average,C,Romance,High,PG-13,High,Below_Average
Low,C,Animation,Average,PG,High,Average
High,D,Sci-Fi,High,PG-13,High,Average
Low,D,Thriller,High,R,High,Average
Low,F,Animation,High,PG,High,Average
Low,D,Thriller,High,PG-13,High,Average
Low,D,Drama,High,PG-13,High,Below_Average
High,F,Family,High,PG,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Poor
Low,F,Animation,Average,PG,High,Average
Low,A,Family,Average,PG,High,Average
Low,B,Animation,High,PG,High,Above_Average
Low,C,Romance,High,PG-13,High,Below_Average
Average,A,Romance,High,PG-13,High,Good
Average,A,Sci-Fi,High,PG-13,High,Average
High,D,Thriller,High,PG-13,High,Average
Low,F,Animation,Average,G,High,Average
Average,C,Thriller,High,PG-13,High,Above_Average
Low,C,Thriller,High,PG-13,High,Above_Average
Low,D,Romance,High,PG-13,High,Below_Average
Average,F,Sci-Fi,High,R,High,Above_Average
Average,F,Action,High,R,High,Average
Low,D,Thriller,High,PG-13,High,Average
Average,F,Action,High,PG-13,High,Awful
High,F,Family,High,PG,High,Average
Average,D,Sci-Fi,High,PG-13,High,Average
Average,D,Thriller,High,PG-13,High,Average
Low,F,Thriller,High,PG-13,High,Average
Low,D,Sci-Fi,High,PG,High,Below_Average
Low,F,Romance,High,PG,High,Good
Low,D,Thriller,High,PG-13,High,Below_Average
Average,F,Comedy,High,PG-13,High,Poor
Low,D,Sci-Fi,High,R,High,Above_Average
Low,F,Animation,Average,PG,High,Below_Average
Average,D,Sci-Fi,High,R,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Average,D,Comedy,High,PG-13,High,Average
Average,D,Sci-Fi,High,PG-13,High,Above_Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Low,C,Sci-Fi,High,PG,High,Average
Low,D,Animation,High,G,High,Good
Average,C,Sci-Fi,High,PG-13,High,Average
Low,C,Sci-Fi,High,PG,High,Average
Low,C,Animation,High,PG,High,Above_Average
Average,D,Action,Average,R,High,Average
Low,B,Romance,Average,PG-13,High,Average
Average,F,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,Low,PG-13,High,Average
Low,F,Sci-Fi,High,PG-13,High,Poor
Low,A,Family,High,PG,High,Average
Low,D,Thriller,High,PG-13,High,Average
Average,D,Action,High,R,High,Above_Average
Low,D,Thriller,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
High,B,Drama,High,PG-13,High,Above_Average
Low,F,Family,Average,PG,High,Poor
Average,D,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Romance,High,R,High,Average
Low,F,Animation,Average,PG,High,Below_Average
Low,D,Animation,Low,PG,High,Below_Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Animation,Average,PG,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Awful
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,F,Comedy,Average,PG,High,Below_Average
Low,D,Drama,Average,R,High,Average
Low,F,Family,Average,PG,High,Awful
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,D,Action,High,R,High,Above_Average
Low,F,Animation,High,G,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Good
Low,C,Sci-Fi,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Average
Low,F,Romance,High,R,High,Good
High,D,Sci-Fi,High,PG-13,High,Above_Average
High,F,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Sci-Fi,High,R,High,Good
Low,A,Romance,High,R,High,Above_Average
Low,C,Drama,High,R,High,Above_Average
Low,F,Thriller,High,R,High,Above_Average
High,C,Thriller,High,R,High,Average
Low,C,Comedy,High,PG-13,High,Below_Average
Low,D,Comedy,High,PG-13,High,Average
Low,F,Thriller,High,R,High,Average
High,B,Action,High,R,High,Good
Low,F,Animation,High,G,High,Average
Low,F,Animation,High,G,High,Above_Average
Low,B,Thriller,High,R,High,Average
Low,D,Family,High,PG,High,Average
Low,F,Family,High,PG,High,Below_Average
Average,C,Family,Average,PG,High,Below_Average
Low,D,Animation,High,PG,High,Average
Low,A,Thriller,High,PG-13,High,Average
Low,F,Horror,High,R,High,Below_Average
High,B,Comedy,High,R,High,Good
Average,F,Romance,High,PG-13,High,Below_Average
Average,F,Sci-Fi,High,R,High,Above_Average
Low,F,Animation,Average,PG,High,Above_Average
Low,F,Thriller,High,PG-13,High,Awful
Average,D,Action,High,PG-13,High,Average
Low,C,Animation,Average,PG,High,Above_Average
Low,D,Sci-Fi,Average,PG-13,High,Below_Average
Average,B,Thriller,High,PG-13,High,Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,F,Family,Average,PG,High,Awful
High,B,Thriller,Average,PG-13,High,Above_Average
Low,F,Sci-Fi,Average,PG-13,High,Awful
Low,F,Animation,Average,G,High,Above_Average
Average,F,Thriller,Low,PG,Low,Above_Average
Low,D,Thriller,High,PG-13,High,Average
High,B,Drama,High,R,High,Above_Average
Low,D,Animation,Average,PG,High,Average
Low,D,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Action,High,R,High,Above_Average
Low,D,Comedy,High,R,High,Average
Low,F,Comedy,Average,R,High,Poor
Low,F,Animation,Average,PG,High,Average
Low,C,Animation,High,PG,High,Average
Low,F,Family,High,PG,High,Above_Average
Low,F,Thriller,High,PG-13,High,Average
Average,F,Animation,High,G,High,Good
Low,F,Romance,High,PG-13,High,Good
Low,C,Romance,High,PG-13,High,Good
Low,D,Romance,Average,PG-13,High,Below_Average
Low,D,Thriller,High,PG-13,High,Below_Average
Average,F,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Family,Average,PG,High,Average
Low,D,Thriller,High,R,High,Below_Average
Low,F,Action,Low,PG-13,High,Average
Average,F,Animation,High,PG,High,Good
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,D,Family,High,PG-13,High,Above_Average
Average,D,Animation,High,G,High,Above_Average
High,C,Thriller,High,PG-13,High,Average
Average,F,Thriller,High,PG-13,High,Average
Low,D,Horror,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,F,Animation,High,PG,High,Above_Average
Low,F,Romance,High,PG,High,Above_Average
Average,D,Thriller,High,PG-13,High,Below_Average
High,B,Thriller,High,R,High,Good
Low,F,Animation,High,G,High,Above_Average
Low,C,Comedy,High,R,High,Above_Average
High,C,Thriller,High,R,High,Above_Average
Average,D,Thriller,High,R,High,Above_Average
Low,C,Thriller,High,PG-13,High,Above_Average
Low,D,Animation,Average,PG,High,Average
Low,A,Animation,Low,PG,High,Below_Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,D,Comedy,High,PG-13,High,Below_Average
Low,C,Animation,High,PG-13,High,Below_Average
High,F,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Family,Average,PG,High,Poor
Low,D,Sci-Fi,High,PG,High,Above_Average
Average,F,Horror,High,R,High,Below_Average
Low,D,Family,High,PG,High,Below_Average
Low,C,Romance,High,PG-13,High,Below_Average
Low,D,Thriller,Average,PG-13,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Average
Low,F,Sci-Fi,Average,PG,High,Below_Average
Low,D,Animation,High,G,High,Above_Average
Low,A,Sci-Fi,High,PG,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,D,Thriller,Average,R,High,Average
Low,F,Sci-Fi,High,PG-13,High,Poor
Average,F,Romance,High,R,Medium,Average
High,F,Drama,High,PG-13,High,Good
Average,D,Drama,Average,PG-13,High,Above_Average
Low,C,Thriller,High,PG-13,High,Average
Average,C,Thriller,High,PG-13,High,Average
Low,D,Romance,High,PG-13,High,Above_Average
Average,A,Animation,High,PG,High,Average
Average,D,Thriller,High,PG-13,High,Above_Average
Low,D,Thriller,High,R,High,Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,D,Animation,High,PG,High,Above_Average
Low,F,Animation,High,PG,High,Above_Average
Low,C,Thriller,High,R,High,Average
Low,F,Family,Average,G,High,Poor
Average,F,Comedy,High,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Average
High,D,Thriller,High,R,High,Above_Average
Low,D,Comedy,Average,R,High,Average
Low,D,Thriller,High,PG-13,High,Average
Low,F,Animation,Average,PG,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,F,Action,High,R,High,Above_Average
Average,D,Thriller,High,PG-13,High,Average
Average,F,Romance,High,PG-13,High,Average
Low,F,Romance,High,PG-13,High,Above_Average
Average,F,Thriller,High,PG-13,High,Average
Low,D,Romance,High,PG-13,High,Above_Average
Low,F,Thriller,Average,R,High,Below_Average
Average,D,Family,Average,PG,High,Below_Average
Average,D,Romance,High,PG-13,High,Above_Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,Average,PG-13,High,Poor
Low,F,Comedy,Average,PG,High,Poor
Low,D,Romance,High,PG-13,High,Average
Low,F,Horror,Average,R,Low,Average
Low,F,Family,Low,PG,High,Poor
Low,C,Sci-Fi,High,PG-13,High,Average
Low,F,Horror,High,PG-13,High,Above_Average
High,C,Thriller,High,R,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Comedy,High,PG-13,High,Average
High,B,Thriller,High,R,High,Average
Low,D,Thriller,High,PG-13,High,Above_Average
Average,A,Sci-Fi,High,PG-13,High,Above_Average
Average,D,Comedy,High,R,High,Average
High,F,Action,High,PG-13,High,Above_Average
Low,D,Animation,High,PG,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Average
Low,F,Animation,Average,G,High,Poor
Low,D,Comedy,High,PG-13,High,Below_Average
Low,D,Comedy,High,PG-13,High,Average
Low,C,Comedy,High,PG-13,High,Average
High,B,Thriller,High,R,High,Good
Low,F,Animation,High,PG,High,Average
Average,D,Sci-Fi,High,R,High,Above_Average
Low,D,Family,Average,PG,High,Average
Low,D,Thriller,High,R,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
Low,D,Thriller,High,R,High,Average
Low,F,Thriller,High,PG-13,High,Average
Average,C,Action,High,R,High,Above_Average
Low,C,Thriller,High,R,High,Average
Low,A,Family,Average,PG,High,Below_Average
Low,D,Horror,Average,PG-13,High,Poor
Low,D,Animation,High,PG,High,Average
Low,F,Family,Average,PG,High,Below_Average
Average,C,Sci-Fi,High,PG-13,High,Below_Average
Average,D,Thriller,Average,R,High,Average
Average,D,Action,High,R,High,Above_Average
Average,D,Comedy,Average,PG-13,High,Below_Average
Low,F,Animation,Low,PG,High,Poor
Low,D,Animation,Average,G,High,Above_Average
Low,F,Family,Average,PG,High,Below_Average
Low,D,Family,Average,PG-13,High,Below_Average
Average,C,Sci-Fi,High,R,High,Average
Low,D,Animation,Average,PG,High,Average
Low,F,Animation,Average,G,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Family,Average,PG,High,Below_Average
Low,C,Thriller,High,R,High,Average
Low,F,Action,Average,PG,High,Below_Average
Low,A,Romance,High,PG-13,High,Above_Average
Low,D,Romance,High,PG-13,High,Below_Average
Low,D,Thriller,High,PG-13,High,Below_Average
High,C,Sci-Fi,High,PG-13,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,F,Thriller,Average,PG-13,High,Above_Average
Average,D,Thriller,Average,PG-13,High,Below_Average
Low,F,Animation,Low,PG,High,Below_Average
Low,F,Sci-Fi,Average,PG-13,High,Awful
Low,F,Romance,Average,PG-13,High,Below_Average
Average,C,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,Average,R,High,Average
Low,D,Romance,Average,PG-13,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
High,F,Drama,High,PG-13,High,Good
Low,F,Animation,High,G,High,Good
Low,D,Family,Average,PG,High,Below_Average
Low,F,Animation,Average,PG,High,Average
Average,B,Action,Average,PG-13,High,Average
Low,D,Comedy,Average,PG,High,Awful
Average,C,Thriller,High,PG-13,High,Below_Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,C,Animation,Low,PG,High,Poor
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Animation,High,PG,High,Above_Average
Average,D,Sci-Fi,High,PG-13,High,Average
High,F,Sci-Fi,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Average
Low,C,Sci-Fi,High,R,High,Above_Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Average,D,Thriller,High,R,High,Average
Low,D,Thriller,High,R,High,Above_Average
Low,F,Animation,High,PG,High,Average
Low,D,Comedy,High,PG-13,High,Average
Low,F,Family,High,PG,High,Average
Low,F,Horror,Average,R,High,Below_Average
Low,F,Family,Average,PG,High,Poor
Low,D,Thriller,High,PG-13,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
High,D,Comedy,High,PG-13,High,Above_Average
Low,F,Family,Low,PG,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,C,Comedy,High,R,High,Above_Average
Low,C,Animation,High,PG,High,Average
Average,F,Drama,Average,PG-13,High,Average
Average,D,Comedy,Average,PG-13,High,Below_Average
Average,D,Thriller,High,R,High,Average
Low,C,Thriller,Average,PG-13,High,Below_Average
Low,D,Comedy,High,PG-13,High,Above_Average
Low,D,Comedy,Average,PG-13,High,Average
Low,D,Animation,Average,PG,High,Average
Low,D,Comedy,Average,PG-13,High,Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,F,Romance,Average,PG-13,High,Average
Average,D,Romance,High,R,High,Average
Low,A,Thriller,High,R,High,Average
Average,D,Animation,Average,PG,High,Average
Low,D,Thriller,Average,PG-13,High,Below_Average
Low,F,Animation,Low,PG-13,High,Poor
Low,F,Thriller,Average,PG-13,High,Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Animation,High,PG,High,Average
Low,F,Romance,High,PG-13,High,Average
Low,D,Thriller,Average,R,High,Below_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,C,Animation,Average,PG,High,Average
Low,D,Thriller,Average,PG-13,High,Below_Average
Low,D,Comedy,High,R,High,Average
Average,F,Thriller,High,R,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Poor
Low,F,Action,High,R,High,Good
Low,F,Animation,High,PG-13,High,Above_Average
Low,F,Romance,Average,PG,High,Average
Low,D,Drama,Average,PG-13,High,Poor
Low,F,Thriller,High,PG-13,High,Average
Low,F,Family,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Average,F,Animation,High,G,High,Above_Average
Low,D,Comedy,Average,PG,High,Below_Average
Average,D,Thriller,High,PG-13,High,Below_Average
Low,F,Animation,Average,PG,High,Average
High,F,Thriller,High,R,High,Average
High,D,Action,High,R,High,Good
High,A,Family,High,PG,High,Average
Average,D,Action,High,PG-13,High,Average
Low,D,Thriller,High,R,High,Above_Average
Low,D,Thriller,High,PG-13,High,Average
Average,D,Sci-Fi,High,R,High,Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Average,F,Horror,High,PG-13,High,Below_Average
Low,F,Animation,Average,PG,High,Poor
Low,F,Action,High,R,High,Above_Average
Average,C,Thriller,High,R,High,Average
Average,F,Sci-Fi,Average,PG,High,Average
Average,F,Sci-Fi,High,PG-13,High,Below_Average
High,D,Romance,High,PG-13,High,Good
Low,F,Horror,Average,R,High,Average
High,B,Action,High,PG-13,High,Above_Average
Low,D,Action,High,PG-13,High,Average
Low,F,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Drama,High,PG-13,High,Average
Low,F,Horror,High,PG-13,High,Average
Average,C,Thriller,Average,R,High,Average
Low,D,Action,High,PG-13,High,Above_Average
High,C,Comedy,Average,PG-13,High,Below_Average
Average,D,Thriller,Average,PG-13,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,F,Horror,High,R,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,D,Action,Average,R,High,Average
Average,F,Sci-Fi,Average,R,High,Awful
Low,F,Sci-Fi,Low,R,High,Awful
Low,D,Thriller,Average,R,High,Below_Average
Low,F,Animation,Average,PG,High,Average
Low,F,Animation,Low,PG,High,Below_Average
Low,B,Thriller,Average,R,High,Below_Average
Low,D,Sci-Fi,Average,PG,High,Average
Low,D,Sci-Fi,High,R,High,Average
Low,F,Romance,Average,PG-13,High,Poor
Low,D,Thriller,High,PG-13,High,Average
Low,C,Romance,High,PG-13,High,Poor
Low,C,Thriller,High,R,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,F,Thriller,Average,R,High,Below_Average
High,D,Comedy,High,R,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Average
Low,F,Comedy,High,R,High,Below_Average
Low,D,Thriller,High,R,High,Above_Average
Low,B,Thriller,High,R,High,Above_Average
Average,F,Horror,High,R,High,Below_Average
Low,F,Thriller,High,PG-13,High,Average
Low,F,Sci-Fi,High,PG-13,High,Above_Average
High,D,Action,High,R,High,Good
Low,F,Thriller,High,PG-13,High,Average
Low,F,Romance,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Average,D,Horror,Average,R,High,Below_Average
High,C,Action,High,PG-13,High,Above_Average
Low,C,Sci-Fi,High,R,High,Good
High,D,Drama,High,PG,High,Above_Average
Average,F,Sci-Fi,High,R,High,Above_Average
Low,F,Family,Average,G,High,Below_Average
Low,C,Romance,High,PG-13,High,Above_Average
Low,D,Comedy,High,PG,High,Average
Low,D,Comedy,High,R,High,Average
Low,D,Action,High,PG-13,High,Average
Average,C,Comedy,High,R,High,Average
High,F,Action,High,PG-13,High,Above_Average
High,C,Thriller,Average,PG-13,High,Average
Low,D,Thriller,High,R,High,Average
Average,F,Thriller,Average,R,High,Average
Low,D,Family,Average,PG,High,Average
Low,D,Thriller,Average,PG-13,High,Average
Low,D,Drama,Average,PG-13,High,Average
Low,F,Comedy,High,R,High,Average
Low,F,Family,Average,PG,High,Below_Average
Low,D,Comedy,High,R,High,Average
Average,B,Comedy,High,PG-13,High,Average
Average,C,Horror,High,R,High,Below_Average
Average,F,Action,Average,PG-13,Medium,Average
Average,B,Sci-Fi,High,R,High,Average
Low,F,Thriller,Average,R,High,Average
Low,F,Thriller,Average,R,High,Average
High,C,Family,Average,PG,High,Average
High,D,Drama,High,R,High,Good
Average,D,Drama,Average,PG,High,Above_Average
Low,D,Comedy,Average,R,High,Below_Average
Average,C,Thriller,High,R,High,Average
Average,D,Romance,Low,R,High,Below_Average
Low,F,Comedy,High,PG-13,High,Average
High,F,Sci-Fi,High,PG-13,High,Good
Average,F,Action,Average,PG-13,High,Average
Low,D,Thriller,Average,PG-13,High,Average
Average,F,Comedy,Average,PG-13,High,Poor
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Awful
Low,D,Thriller,Average,R,High,Below_Average
High,A,Action,High,R,High,Above_Average
